DateTime, month_2, month_3, month_4, month_5, month_6, month_7, month_8, month_9, month_10, month_11, month_12
2019-09-21 20:00:00, 1564, 1153, 990, 1191, 980, 967, 951, 858, 787, 739, 734
2019-09-21 21:00:00, 1567, 1162, 1003, 1204, 993, 980, 964, 870, 796, 750, 742
2019-09-21 22:00:00, 1576, 1172, 1014, 1224, 1005, 994, 971, 881, 804, 756, 748
2019-09-21 23:00:00, 1579, 1186, 1022, 1235, 1018, 1006, 978, 896, 811, 763, 756
2019-09-22 00:00:00, 1592, 1199, 1030, 1249, 1029, 1023, 989, 908, 820, 774, 770
2019-09-22 01:00:00, 1594, 1202, 1037, 1266, 1044, 1038, 999, 917, 825, 779, 776
2019-09-22 02:00:00, 1597, 1204, 1047, 1271, 1054, 1047, 1004, 923, 827, 783, 782
2019-09-22 03:00:00, 1601, 1206, 1049, 1272, 1057, 1051, 1009, 926, 831, 786, 788
2019-09-22 04:00:00, 1601, 1207, 1053, 1274, 1057, 1054, 1010, 927, 832, 790, 790
2019-09-22 05:00:00, 1601, 1207, 1053, 1274, 1059, 1054, 1012, 927, 832, 791, 790
2019-09-22 06:00:00, 1603, 1207, 1053, 1274, 1060, 1054, 1013, 927, 834, 791, 790
2019-09-22 07:00:00, 1603, 1208, 1053, 1274, 1060, 1054, 1014, 928, 835, 792, 790
2019-09-22 08:00:00, 1604, 1208, 1053, 1275, 1060, 1054, 1014, 931, 837, 793, 791
2019-09-22 09:00:00, 1603, 1209, 1054, 1276, 1062, 1056, 1014, 932, 838, 793, 793
2019-09-22 10:00:00, 1605, 1213, 1058, 1276, 1065, 1057, 1013, 934, 843, 795, 794
2019-09-22 11:00:00, 1608, 1222, 1059, 1281, 1073, 1066, 1021, 939, 846, 800, 797
2019-09-22 12:00:00, 1619, 1228, 1066, 1286, 1077, 1069, 1030, 942, 854, 803, 802
2019-09-22 13:00:00, 1627, 1235, 1073, 1299, 1091, 1079, 1040, 948, 864, 812, 809
2019-09-22 14:00:00, 1636, 1243, 1085, 1310, 1106, 1087, 1052, 958, 877, 822, 823
2019-09-22 15:00:00, 1645, 1257, 1097, 1321, 1126, 1095, 1064, 971, 885, 833, 831
2019-09-22 16:00:00, 1659, 1270, 1107, 1341, 1142, 1110, 1073, 984, 895, 845, 846
2019-09-22 17:00:00, 1665, 1284, 1116, 1359, 1155, 1123, 1082, 994, 906, 862, 857
2019-09-22 18:00:00, 1678, 1296, 1128, 1376, 1170, 1132, 1096, 1005, 913, 869, 865
2019-09-22 19:00:00, 1679, 1311, 1135, 1385, 1184, 1143, 1105, 1012, 930, 877, 880
2019-09-22 20:00:00, 1687, 1326, 1145, 1400, 1198, 1156, 1119, 1036, 934, 885, 886
2019-09-22 21:00:00, 1700, 1342, 1155, 1415, 1213, 1174, 1132, 1047, 943, 896, 895
2019-09-22 22:00:00, 1704, 1354, 1167, 1427, 1229, 1183, 1152, 1064, 961, 911, 909
2019-09-22 23:00:00, 1710, 1361, 1178, 1446, 1245, 1199, 1161, 1084, 972, 926, 921
2019-09-23 00:00:00, 1719, 1372, 1195, 1459, 1260, 1220, 1176, 1099, 991, 937, 936
2019-09-23 01:00:00, 1722, 1382, 1209, 1473, 1274, 1240, 1192, 1110, 1006, 947, 946
2019-09-23 02:00:00, 1729, 1392, 1210, 1483, 1280, 1249, 1201, 1116, 1016, 956, 956
2019-09-23 03:00:00, 1732, 1394, 1213, 1487, 1289, 1253, 1203, 1123, 1019, 962, 958
2019-09-23 04:00:00, 1734, 1394, 1215, 1490, 1291, 1255, 1206, 1129, 1022, 963, 959
2019-09-23 05:00:00, 1735, 1395, 1216, 1492, 1292, 1256, 1207, 1129, 1022, 965, 959
